 

stn;time;rre150h0
EVO;2023082000;0.0
EVO;2023082001;0.0
EVO;2023082002;0.0
EVO;2023082003;0.0
EVO;2023082004;0.0
EVO;2023082005;0.0
EVO;2023082006;0.0
EVO;2023082007;0.0
EVO;2023082008;0.0
EVO;2023082009;0.0
EVO;2023082010;0.0
EVO;2023082011;0.0
EVO;2023082012;0.0
EVO;2023082013;0.0
EVO;2023082014;0.0
EVO;2023082015;0.0
EVO;2023082016;0.0
EVO;2023082017;0.0
EVO;2023082018;0.0
EVO;2023082019;0.0
EVO;2023082020;0.0
EVO;2023082021;0.0
EVO;2023082022;0.0
EVO;2023082023;0.0
EVO;2023082100;0.0
EVO;2023082101;0.0
EVO;2023082102;0.0
EVO;2023082103;0.0
EVO;2023082104;0.0
EVO;2023082105;0.0
EVO;2023082106;0.0
EVO;2023082107;0.0
EVO;2023082108;0.0
EVO;2023082109;0.0
EVO;2023082110;0.0
EVO;2023082111;0.0
EVO;2023082112;0.0
EVO;2023082113;0.0
EVO;2023082114;0.0
EVO;2023082115;0.0
EVO;2023082116;0.0
EVO;2023082117;0.0
EVO;2023082118;0.0
EVO;2023082119;0.0
EVO;2023082120;0.0
EVO;2023082121;0.0
EVO;2023082122;0.0
EVO;2023082123;0.0
EVO;2023082200;0.0
EVO;2023082201;0.0
EVO;2023082202;0.0
EVO;2023082203;0.0
EVO;2023082204;0.0
EVO;2023082205;0.0
EVO;2023082206;0.0
EVO;2023082207;0.0
EVO;2023082208;0.0
EVO;2023082209;0.0
EVO;2023082210;0.0
EVO;2023082211;0.0
EVO;2023082212;0.0
EVO;2023082213;0.0
EVO;2023082214;0.0
EVO;2023082215;0.0
EVO;2023082216;0.0
EVO;2023082217;0.0
EVO;2023082218;0.0
EVO;2023082219;0.0
EVO;2023082220;0.0
EVO;2023082221;0.0
EVO;2023082222;0.0
EVO;2023082223;0.0
EVO;2023082300;0.0
EVO;2023082301;0.0
EVO;2023082302;0.0
EVO;2023082303;0.0
EVO;2023082304;0.0
EVO;2023082305;0.0
EVO;2023082306;0.0
EVO;2023082307;0.0
EVO;2023082308;0.0
EVO;2023082309;0.0
EVO;2023082310;0.0
EVO;2023082311;0.0
EVO;2023082312;0.0
EVO;2023082313;0.0
EVO;2023082314;0.0
EVO;2023082315;0.0
EVO;2023082316;0.0
EVO;2023082317;0.0
EVO;2023082318;0.0
EVO;2023082319;0.0
EVO;2023082320;0.0
EVO;2023082321;0.0
EVO;2023082322;0.0
EVO;2023082323;0.0
EVO;2023082400;0.0
EVO;2023082401;0.0
EVO;2023082402;0.0
EVO;2023082403;0.0
EVO;2023082404;0.0
EVO;2023082405;0.0
EVO;2023082406;0.0
EVO;2023082407;0.0
EVO;2023082408;0.0
EVO;2023082409;0.0
EVO;2023082410;0.0
EVO;2023082411;0.0
EVO;2023082412;0.0
EVO;2023082413;0.0
EVO;2023082414;0.0
EVO;2023082415;0.0
EVO;2023082416;0.0
EVO;2023082417;0.0
EVO;2023082418;0.0
EVO;2023082419;1.1
EVO;2023082420;0.0
EVO;2023082421;0.1
EVO;2023082422;0.2
EVO;2023082423;0.0
EVO;2023082500;0.0
EVO;2023082501;0.0
EVO;2023082502;0.0
EVO;2023082503;0.0
EVO;2023082504;0.0
EVO;2023082505;0.0
EVO;2023082506;0.0
EVO;2023082507;0.0
EVO;2023082508;0.0
EVO;2023082509;0.0
EVO;2023082510;0.0
EVO;2023082511;0.0
EVO;2023082512;0.0
EVO;2023082513;0.0
EVO;2023082514;0.0
EVO;2023082515;0.0
EVO;2023082516;0.0
EVO;2023082517;0.0
EVO;2023082518;0.0
EVO;2023082519;0.0
EVO;2023082520;0.1
EVO;2023082521;1.9
EVO;2023082522;0.4
EVO;2023082523;1.4
EVO;2023082600;0.0
EVO;2023082601;0.0
EVO;2023082602;0.0
EVO;2023082603;0.0
EVO;2023082604;0.0
EVO;2023082605;0.0
EVO;2023082606;0.0
EVO;2023082607;0.0
EVO;2023082608;0.0
EVO;2023082609;0.0
EVO;2023082610;0.0
EVO;2023082611;0.0
EVO;2023082612;0.2
EVO;2023082613;2.3
EVO;2023082614;0.5
EVO;2023082615;0.0
EVO;2023082616;0.0
EVO;2023082617;0.0
EVO;2023082618;0.0
EVO;2023082619;0.0
EVO;2023082620;0.0
EVO;2023082621;0.0
EVO;2023082622;0.1
EVO;2023082623;0.0
EVO;2023082700;0.1
EVO;2023082701;2.3
EVO;2023082702;0.4
EVO;2023082703;1.9
EVO;2023082704;0.5
EVO;2023082705;0.3
EVO;2023082706;0.0
EVO;2023082707;0.0
EVO;2023082708;0.0
EVO;2023082709;0.7
EVO;2023082710;2.1
EVO;2023082711;0.8
EVO;2023082712;0.0
EVO;2023082713;0.0
EVO;2023082714;0.0
EVO;2023082715;0.5
EVO;2023082716;0.6
EVO;2023082717;0.6
EVO;2023082718;0.2
EVO;2023082719;0.3
EVO;2023082720;0.7
EVO;2023082721;0.8
EVO;2023082722;2.3
EVO;2023082723;1.5
EVO;2023082800;1.0
EVO;2023082801;0.6
EVO;2023082802;3.5
EVO;2023082803;4.6
EVO;2023082804;6.5
EVO;2023082805;6.0
EVO;2023082806;8.3
EVO;2023082807;5.7
EVO;2023082808;5.5
EVO;2023082809;2.5
EVO;2023082810;5.2
EVO;2023082811;2.1
EVO;2023082812;0.2
EVO;2023082813;0.2
EVO;2023082814;0.1
EVO;2023082815;0.4
EVO;2023082816;0.6
EVO;2023082817;1.1
EVO;2023082818;0.8
EVO;2023082819;0.5
EVO;2023082820;1.3
EVO;2023082821;0.9
EVO;2023082822;1.1
EVO;2023082823;0.6
EVO;2023082900;0.2
EVO;2023082901;0.3
EVO;2023082902;0.2
EVO;2023082903;0.0
EVO;2023082904;0.0
EVO;2023082905;0.1
EVO;2023082906;0.0
EVO;2023082907;0.0
EVO;2023082908;0.0
EVO;2023082909;0.0
EVO;2023082910;0.0
EVO;2023082911;0.0
EVO;2023082912;0.0
EVO;2023082913;0.2
EVO;2023082914;0.5
EVO;2023082915;0.0
EVO;2023082916;0.1
EVO;2023082917;0.0
EVO;2023082918;0.0
EVO;2023082919;0.0
EVO;2023082920;0.0
EVO;2023082921;0.0
EVO;2023082922;0.0
EVO;2023082923;0.0
EVO;2023083000;0.0
EVO;2023083001;0.0
EVO;2023083002;0.0
EVO;2023083003;0.0
EVO;2023083004;0.0
EVO;2023083005;0.0
EVO;2023083006;0.0
EVO;2023083007;0.0
EVO;2023083008;0.0
EVO;2023083009;0.0
EVO;2023083010;0.0
EVO;2023083011;0.0
EVO;2023083012;0.0
EVO;2023083013;0.0
EVO;2023083014;0.0
EVO;2023083015;0.0
EVO;2023083016;0.0
EVO;2023083017;0.0
EVO;2023083018;0.0
EVO;2023083019;0.0
EVO;2023083020;0.0
EVO;2023083021;0.0
EVO;2023083022;0.0
EVO;2023083023;0.0
EVO;2023083100;0.0
EVO;2023083101;0.0
EVO;2023083102;0.0
EVO;2023083103;0.0
EVO;2023083104;0.0
EVO;2023083105;0.0
EVO;2023083106;0.0
EVO;2023083107;0.0
EVO;2023083108;0.0
EVO;2023083109;0.0
EVO;2023083110;0.0
EVO;2023083111;0.0
EVO;2023083112;0.0
EVO;2023083113;0.0
EVO;2023083114;0.0
EVO;2023083115;0.0
EVO;2023083116;0.0
EVO;2023083117;0.0
EVO;2023083118;0.0
EVO;2023083119;0.2
EVO;2023083120;0.6
EVO;2023083121;0.1
EVO;2023083122;0.0
EVO;2023083123;0.0
EVO;2023090100;0.0
